overall,vote,reviewTime,reviewerID,asin,reviewText,summary,negative,neutral,positive,compound
1.0,,2015-08-16,A3O6CP5TT54LJE,0486448789,"total waste of money. the stickers do not stick down even once
it is just a tiny amount of stickers which do not work, and that is basically it. i thought the backgrounds would make this special but it just is tiny and does not work.
much better to simply buy packs of stickers and use paper
the activity books in this series are better",save your money,0.117,0.853,0.03,-0.7232
2.0,,2015-02-15,A3EAVL6N8Q6MOA,0486448789,they were ok but not really considered it a book. really small disappointed!,really small disappointed!,0.295,0.608,0.097,-0.6439
1.0,,2015-12-26,A1BO4MHL71C9NF,0545561647,"book is nice but pom poms never come out right. either book gives wrong measurements of string length or the pom pom make it come with doesn't do proper job. i've made many pompous before and this is a first time i couldn't make pom poms. so disappointing, paid too much just for the book pretty much",book is nice but pom poms never come out right,0.147,0.761,0.093,-0.6833
3.0,2,2015-01-29,A3ARDLC6KTLIEY,0545561647,book is ok. it was delivered in excellent condition with a little snow on it. but i think i am missing yarn...there was not enough required tan yarn to finish the chiuahua and my daughter cried. this book is definitely for 8 or older cause it was very hard to cut. it needs the patience of older kids. i should have waited a few years but very cute concept. my child is 6 years and we could only make one dog she was disappointed.,book is definitely for 8 and up!,0.162,0.713,0.125,-0.5416
3.0,16,2014-01-12,A1EVV74UQYVKRY,0545561647,"my daughter wanted this so badly. so she forked over her allowance and bought it. we've used klutz books for ages and usually have great success. this one was a bit of a dud. it was really difficult to make the pompoms using the enclosed pompom maker. they kept falling apart and once you've cut the yarn, there isn't any way to fix it except to buy more. i've done crafts all my life but i just couldn't get how they wanted the pompom maker to work. my daughter failed and so did i. when it became unfruitful, she gave up. since there are others who have made it work, i can only assume we were not doing something right. but if this is for kids, it should be fairly easy.

unfortunately, it has not been touched since the first few tries.","so excited to try, difficult to execute",0.106,0.836,0.057,-0.6749
2.0,,2015-03-13,A1QOJPKCL6Y4P4,0615638996,"its really uno type game but anger control stuff...i don't like it due to younger children really don't respond well to anger management techniques...they do better with expectation management instead.  these are ok, but i wouldn't buy them again.",bit dissapointed.,0.285,0.592,0.123,-0.8668
3.0,,2017-01-19,A3PPLH5DL6DHN7,0641869665,"my son loves the books, but was very disappointed in how cheaply this is made.  one of the wings was half ripped off within the first couple days of normal play.  nothing some needle and thread couldn't fix, but now the other wing needs repair as well.  too bad it wasn't made better, but i think all parents realize that toys are not built the same way they were when we were kids.",poorly made and will require needle/thread repair on wings with even light play.,0.144,0.763,0.094,-0.7468
1.0,,2018-04-01,A3ILHRAH8ZRCBD,0692770445,if i could give this egg zero stars i would. it is poorly made and rudiculously hard to open. what should be a tender moment spent with your children is a huge headache. i had to use a knife to open it and the knife literally broke off. that is how difficult it is. horrible product. dont buy.,too hard for children or adults to open,0.171,0.79,0.039,-0.7845
3.0,10,2016-05-19,A30F2V6ZL2W3JX,0735333467,"these are nice enough, but probably not worth the price. i didn't love how it's missing certain letters. not one ""p"" so my child could spell her name. also missing other basic letters, while giving a few too many qs.","these are nice enough, but probably not worth the price",0.239,0.61,0.151,-0.6706
1.0,8,2012-06-05,A337DRCGSM0HSC,0786950072,"a crappy cardboard ghost of the original.  hard to believe they did this, but they did.  shame on hasbro.  disgusting.","a crappy cardboard ghost of the original.  hard to believe they did this, but they did.  shame on hasbro.  disgusting.",0.487,0.455,0.058,-0.9052
3.0,,2016-04-17,A9IGH4CMF9SF3,0857260979,"the stickers were very cute, and my three-year-old daughter love them. but as far as stickers go, they were not so great. the stickers kept separating themselves from the sheet and it sort of made them difficult to peel. probably would not order ones like this again. but, like i said the stickers were really cute.","very cute, but poor quality stickers",0.2,0.672,0.129,-0.7271
3.0,4,2010-12-29,A1EVV74UQYVKRY,0911121013,"i know i'm going against the grain giving this only three stars but it is a little frustrating to work with.

i've had plenty of hands on tactile 'toys' and this one should have delivered but it really falls short in comparison.

the object is to rearrange the pieces to an unlimited amount of variations including 'real' or abstract shapes. the problem is that the magnets are not really strong enough so they tend to slide around way to much to hold a shape. we have made a bunch of star shapes (we being my kids age 6 and 11) but even they are running out of ideas. the best thing is if you drop the ball, it shatters into 30 pieces.

if you like tactile things, i would recommend bucky balls (sometimes known as&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/magnet-balls-magnetic-ball-puzzle/dp/b003d7cftq/ref=cm_cr_arp_d_rvw_txt?ie=utf8"">magnet balls - magnetic ball puzzle</a>). they are strong and have endless possibilities. i would also recommend&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/tangle-therapy-by-tangle/dp/b000f8i5ae/ref=cm_cr_arp_d_rvw_txt?ie=utf8"">tangle therapy by tangle</a>.",somewhat fun but a little lacking in strength,0.101,0.818,0.08,-0.5757
3.0,,2016-06-11,A2JNMYU37KGP65,096625757X,"i got this as a stocking stuffer for my husband for us to play. i thought it would be a thought provoking game where we would discuss the question, but instead found we would just ask it , answer it and move on. probably more our fault than the game but doesn't really give us much of a sense of ""fun""",more of a game for in the car?,0.091,0.88,0.029,-0.5672
2.0,2,2017-11-21,A2PEGEJF3T7Y2S,0966257596,"some of these questions were very disgusting and not appropriate. i bought these for vactaion with a 46 year old, two 9 year olds, two 11 year olds, a 76 year old, a 51 year old, a 47 year old and a 45 year old. overall really didn't like it",gross and inappropriate,0.129,0.871,0.0,-0.7254
1.0,2,2017-02-06,A9BPCTI0RIRAQ,0966257596,"horrible card game, wasn't fun.  highly predictable.  don't waste your money.",not fun,0.369,0.476,0.155,-0.5583
2.0,,2017-01-03,A3MCXEF0XE1HHV,0966257596,this game sounds fun but my teenager hated it and the preteens who played with us got bored of it quickly. the questions are appropriate for kids but really dull for anyone ages 10+.,game for kids 7 to 10 years old,0.266,0.621,0.112,-0.8477
3.0,,2016-02-18,A3MA8G9DERHW6Y,0966257596,its a bit crazy but does make you think- i use it with teens who don't talk too easily.,... i use it with teens who don't talk too easily.,0.221,0.779,0.0,-0.503
1.0,2,2015-03-12,A31AJ70ZUX1U1H,0972428216,disappointment,disappointing,1.0,0.0,0.0,-0.5106
